Nama SGB,Alamat,Jumlah Slot,Timestamp
Alfamart Joyo Martono,"Jl. HM. Joyo Martono, RT.003/RW.021, Margahayu, Kec. Bekasi Timur, Kota Bekasi, Jawa Barat 17113",12,2025-06-06 21:39:36
Alfamart Tukad Balian ( Bali ),"Jl.Kamboja no.15,Dangin Puri Kangin,Kec.Denpasar Utara,Denpasar Bali 80233",12,2025-06-06 21:20:24
Sentral Cargo Bandung Buah Batu,"Jl. Ahmad Yani No.1, RT.004/RW.001, Marga Jaya, Kec. Bekasi Selatan, Kota Bekasi, Jawa Barat 17148",12,2025-06-06 21:43:07
Alfamart Gatot Subroto Timur ( Bali ),"Jl. Gatot Subroto Timur No.221, Tonja, Kec. Denpasar Utara, Kota Denpasar, Bali 80236",12,2025-06-06 21:19:28
Alfamidi Puri Kembangan,"JL. PURI KEMBANGAN NO.14, RT. 001 RW.08, KEMBANGAN SELATAN, KEC. KEMBANGAN, KOTA JAKARTA BARAT 116100",12,2025-06-06 21:33:06
Alfamart Ciledug Raya 3,"Jl. Ciledug Raya No. 10A, Rt. 002/003 Kel, RT.2/RW.3, Petukangan Utara, Kec. Pesanggrahan, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12260",12,2025-06-06 21:35:21
BC STI Semolis Bekasi,"Jl. Raya Pekayon No.35, RT.004/RW.001, Jaka Setia, Kec. Bekasi Sel., Kota Bks, Jawa Barat 17147",8,2025-06-06 21:45:49
Alfamart Karang Asem Timur,"Jl. Pahlawan No. 1, Karang Asem Timur, Kec. Citeureup, Kabupaten Bogor, Jawa Barat 16810",12,2025-06-06 22:08:04
Alfamart Jembatan Gambang 25,"Jl. Jemb. Gambang 2 No.12 4a, RT.12/RW.1, Pejagalan, Kec. Penjaringan, Jakarta Utara, Daerah Khusus Ibukota Jakarta 14450",12,2025-06-06 21:53:25
Alfamart Boulevard Kelapa Gading Asri,"Jl. Gading Asri V No.14, RT.3/RW.18, Pegangsaan Dua, Kec. Klp. Gading, Jkt Utara, Daerah Khusus Ibukota Jakarta 14250",12,2025-06-06 21:33:27
SPBKLU PLN UID Jabar,"Jl. Jend. Ahmad Yani No. 14, Kota Bekasi, Jawa Barat",8,2025-06-06 21:42:31
Citra Garden 3 (24 jam),"Jl. Suci No.1, RT.10/RW.4, Kel. Susukan, Kec. Ciracas, Kota Jakarta Timur, Daerah Khusus Ibukota Jakarta 13750",12,2025-06-06 21:49:00
Alfamart Menganti D Kramat Surabaya,Jl. Menganti D. Kramat no 21.Surabaya,12,2025-06-06 21:26:31
Alfamart Pakansari,"Jl. Gor Pakansari No.43, Nanggewer Mekar, Kec. Cibinong, Kabupaten Bogor, Jawa Barat 16915",12,2025-06-06 22:08:20
Minimart CG37 Bali,"Jl. Raya Semat No.1d, Tibubeneng, Kec. Kuta Utara, Kabupaten Badung, Bali 80361",12,2025-06-06 21:22:23
Alfamart Cikaret Raya,"Jl. Raya Cikaret No.8, RT.07/RW.11, Pabuaran, Kec. Cibinong, Kabupaten Bogor, Jawa Barat 16916",12,2025-06-06 22:07:04
Alfamart Citra 1,"Jl. Citra 1 Blok I 12 No. 11 R, RT.12/RW.9, Kalideres, Kec. Kalideres, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11840",12,2025-06-06 22:06:43
Alfamart Tipar Cakung 1-2,"Jl. Tipar Cakung No.1, RT.6 RW.5, Semper Barat, Kec. Cilincing, Kota Jakarta Utara,DKI Jakarta 14140",12,2025-06-06 21:36:47
Alfamidi Pahlawan Ciputat (24 Jam),"JL. PAHLAWAN, RAYA REMPOA, KEL. REMPOA, KEC. CIPUTAT TIMUR, KOTA TANGERANG SELATAN, BANTEN",12,2025-06-06 21:47:04
